Product Name,Price (KES),Converted At
"Redmi 15C By Xiaomi, 6.9"", 4GB RAM + 128GB (Dual SIM), 6000mAh, Black (25 Months Warranty)",13290.0,2026-04-13 22:11:22
"Samsung Galaxy A06, 6.7"", 4GB RAM+ 64GB (Dual SIM), 5000mAh, Black (1YR WRTY)",11100.0,2026-04-13 22:11:22
"Infinix Hot 60i 4G, 6.7"", 6GB RAM + 128GB, 5160mAh (Dual SIM), Sleek Black  (1YR WRTY)",14740.0,2026-04-13 22:11:22
"Safaricom Neon Smarta 2, 5"", 32GB + 2GB RAM (Dual SIM), 3300mAh, Black",2699.0,2026-04-13 22:11:22
"Infinix Smart 10, 6.67"", 4GB RAM + 64GB (Dual SIM), 5000 mAh, 4G, Titanium Silver  (1YR WRTY)",10650.0,2026-04-13 22:11:22
"Safaricom Neon Smarta 2, IPS LCD DISPLAY, 5"" Inches, 32GB ROM + 2GB RAM (Dual SIM), 3300mAh - BLACK + LED Watch",2790.0,2026-04-13 22:11:22
"Infinix Smart 10, 6.67"", 4GB RAM + 64GB (Dual SIM), 5000 mAh, 4G -  Black  (1YR WRTY)",10650.0,2026-04-13 22:11:22
"Itel A100C 4G, 6.6"", 6GB (2+4GB*) RAM + 64 GB (Dual SIM), 5000mAh, Black (1YR WRTY)",8560.0,2026-04-13 22:11:22
"Redmi 15C By Xiaomi, 4G, 6.9"", 6GB RAM + 128GB, 6000mAh, Black (25 Months Warranty)",14570.0,2026-04-13 22:11:22
"Infinix Hot 60i 4G, 6.7"", 6GB RAM, 128GB, 5160mAh, Silver  (1YR WRTY)",13844.0,2026-04-13 22:11:22
"XIAOMI Redmi 15C, 4G, 6.9"", 8GB RAM + 256GB, 6000mAh, Black (25 Months Warranty)",16930.0,2026-04-13 22:11:22
"Redmi 15C By Xiaomi Smartphone, 6.88"", 8GB RAM (4+4GB) +128GB, 5000mAh + I12 WATCH (1 TR WRTY), BLACK",14599.0,2026-04-13 22:11:22
"Tecno Spark 40 Pro, 6.78'', 128GB + 8GB RAM (+8GB Extended), (Dual Sim), 5200mAh - Ink Black (1YR WRTY)",18399.0,2026-04-13 22:11:22
"Oale 17 Pro Max 4G - 6.85"", 128GB + 8GB RAM, 20MP, 5750mAh (DUAL SIM), Black +Earphones, Glass Protector, Cover)",10110.0,2026-04-13 22:11:22
"LESIA Bright 3 6.56""HD 5000mah 4GB+4GB/64GB",6299.0,2026-04-13 22:11:22
